WT	drdd	logFC_drdd_WT	PValue_drdd_WT	FDR_drdd_WT
AT1TE19780	0	0	0	1	1
AT1TE19785	0	0	0	1	1
AT1TE19790	0	0	0	1	1
AT1TE19795	0	0	0	1	1
AT1TE19800	430.078930564649	449.103073559016	0.105163550422035	1	1
AT1TE19810	0	0	0	1	1
AT1TE19815	0	0	0	1	1
AT1TE19820	0	0	0	1	1
AT1TE19860	0	0	0	1	1
AT1TE19910	0	0	0	1	1
AT1TE20030	0	0	0	1	1
AT1TE20035	0	0	0	1	1
AT1TE20040	0	0	0	1	1
AT1TE20045	0	0	0	1	1
AT1TE20050	0	0	0	1	1
AT1TE20080	0	0	0	1	1
AT1TE20085	0	0	0	1	1
AT1TE20090	0	90.9505233756328	3.17582414161499	0.270990401138323	1
AT1TE20110	0	0	0	1	1
AT1TE20115	0	0	0	1	1
AT1TE20150	0	0	0	1	1
AT1TE20155	0	0	0	1	1
AT1TE20160	0	0	0	1	1
AT1TE20165	0	0	0	1	1
AT1TE20170	0	0	0	1	1
AT1TE20175	0	0	0	1	1
AT1TE20180	0	0	0	1	1
AT1TE20185	0	0	0	1	1
AT1TE20190	0	0	0	1	1
AT1TE20195	0	0	0	1	1
AT1TE20200	0	0	0	1	1
AT1TE20310	0	0	0	1	1
AT1TE20315	0	0	0	1	1
AT1TE20320	0	0	0	1	1
AT1TE20325	0	0	0	1	1
AT1TE20410	0	0	0	1	1
AT1TE20450	0	0	0	1	1
AT1TE20660	0	0	0	1	1
AT1TE20665	0	0	0	1	1
AT1TE20670	0	0	0	1	1
AT1TE20675	0	0	0	1	1
AT1TE20740	0	0	0	1	1
AT1TE20745	0	0	0	1	1
AT1TE20750	0	0	0	1	1
AT1TE20755	0	0	0	1	1
AT1TE20760	0	0	0	1	1
AT1TE20840	14.6801271594881	17.864201882374	-0.0776986182410952	1	1
AT1TE20890	0	0	0	1	1
AT1TE20900	0	0	0	1	1
AT1TE20905	0	0	0	1	1
AT1TE20910	0	0	0	1	1
AT1TE20915	0	0	0	1	1
AT1TE20920	0	0	0	1	1
AT1TE20925	0	0	0	1	1
AT1TE20930	0	0	0	1	1
AT1TE20970	1867.55588146937	696.150785853295	-1.36073766224212	0.00778701401322481	1
AT1TE20980	0	0	0	1	1
AT1TE21010	0	0	0	1	1
AT1TE21020	17370.5685456275	22224.9158306555	0.345952579405523	0.447497068773453	1
AT1TE21025	0	0	0	1	1
AT1TE21120	0	0	0	1	1
AT1TE21125	0	0	0	1	1
AT1TE21130	0	0	0	1	1
AT1TE21135	62.0462474199475	185.253448338302	1.35045868461722	0.7466478638285	1
AT1TE21210	0	0	0	1	1
AT1TE21250	0	0	0	1	1
AT1TE21300	0	0	0	1	1
AT1TE21305	0	0	0	1	1
AT1TE21310	39.4117852285769	0	-3.17444642878637	0.36378012465337	1
AT1TE21350	0	0	0	1	1
AT1TE21355	0	0	0	1	1
AT1TE21360	0	0	0	1	1
AT1TE21370	0	0	0	1	1
AT1TE21375	0	0	0	1	1
AT1TE21470	0	13.4731537860958	1.84712567880581	1	1
AT1TE21480	962.841190301401	640.539545373719	-0.680220828757653	0.538307308734047	1
AT1TE21510	0	0	0	1	1
AT1TE21515	0	0	0	1	1
AT1TE21560	0	0	0	1	1
AT1TE21570	0	0	0	1	1
AT1TE21575	0	0	0	1	1
AT1TE21580	0	0	0	1	1
AT1TE21600	0	0	0	1	1
AT1TE21710	0	0	0	1	1
AT1TE21715	0	0	0	1	1
AT1TE21725	0	0	0	1	1
AT1TE21735	30.1871332750106	23.2291236363497	-0.269558992138271	1	1
AT1TE21780	966.615222963392	508.871435294792	-0.367039100846205	1	1
AT1TE21785	0	0	0	1	1
AT1TE21790	0	0	0	1	1
AT1TE21795	0	0	0	1	1
AT1TE21805	0	0	0	1	1
AT1TE21830	128.397089335464	213.424911956145	0.745020081491629	0.705742066496632	1
AT1TE21840	0	0	0	1	1
AT1TE21845	0	0	0	1	1
AT1TE21850	0	0	0	1	1
AT1TE21880	0	0	0	1	1
AT1TE21910	0	0	0	1	1
AT1TE21950	0	0	0	1	1
AT1TE22110	0	0	0	1	1
AT1TE22115	0	0	0	1	1
AT1TE22230	0	0	0	1	1
AT1TE22330	0	0	0	1	1
AT1TE22370	0	0	0	1	1
AT1TE22450	0	0	0	1	1
AT1TE22460	272.050892379343	0	-3.62061589024141	0.137617945612194	1
AT1TE22560	0	0	0	1	1
AT1TE22660	0	0	0	1	1
AT1TE22665	0	0	0	1	1
AT1TE22670	0	0	0	1	1
AT1TE22675	0	0	0	1	1
AT1TE22690	0	0	0	1	1
AT1TE22695	0	0	0	1	1
AT1TE22700	0	0	0	1	1
AT1TE22705	0	0	0	1	1
AT1TE22710	0	0	0	1	1
AT1TE22715	0	0	0	1	1
AT1TE22720	0	0	0	1	1
AT1TE22740	0	0	0	1	1
AT1TE22745	0	0	0	1	1
AT1TE22750	0	0	0	1	1
AT1TE22755	0	0	0	1	1
AT1TE22760	0	0	0	1	1
AT1TE22790	0	0	0	1	1
AT1TE22795	0	0	0	1	1
AT1TE22850	297.231269063883	44.1039144227015	-2.81743769440667	2.56071050094278e-08	7.26054543762768e-05
AT1TE22855	0	0	0	1	1
AT1TE22865	0	0	0	1	1
AT1TE23040	0	104.279468308384	2.60394746202278	0.510568693764358	1
AT1TE23060	0	0	0	1	1
AT1TE23065	0	0	0	1	1
AT1TE23070	0	0	0	1	1
AT1TE23080	0	0	0	1	1
AT1TE23120	0	0	0	1	1
AT1TE23125	0	0	0	1	1
AT1TE23160	29.9082341805513	0	-1.92212745904561	1	1
AT1TE23190	0	0	0	1	1
AT1TE23260	0	0	0	1	1
AT1TE23270	0	0	0	1	1
AT1TE23275	0	0	0	1	1
AT1TE23280	0	0	0	1	1
AT1TE23285	0	0	0	1	1
AT1TE23350	0	0	0	1	1
AT1TE23355	0	0	0	1	1
AT1TE23390	0	0	0	1	1
AT1TE23395	0	0	0	1	1
AT1TE23410	0	0	0	1	1
AT1TE23420	0	0	0	1	1
AT1TE23500	0	0	0	1	1
AT1TE23505	0	0	0	1	1
AT1TE23510	0	0	0	1	1
AT1TE23515	0	0	0	1	1
AT1TE23520	49.3624349946721	59.4614840566954	0.337151676505215	1	1
AT1TE23525	283.421130189883	29.8412261438304	-2.45508943865757	0.447415510840862	1
AT1TE23550	0	0	0	1	1
AT1TE23555	0	0	0	1	1
AT1TE23560	0	0	0	1	1
AT1TE23620	0	37.4750281806242	1.80133062493772	0.999999999999999	1
AT1TE23650	0	0	0	1	1
AT1TE23655	0	0	0	1	1
AT1TE23740	0	0	0	1	1
AT1TE23830	0	0	0	1	1
AT1TE23835	0	0	0	1	1
AT1TE23840	0	0	0	1	1
AT1TE23845	0	0	0	1	1
AT1TE23940	8.59221886605079	16.6982816200407	0.679140462391249	1	1
AT1TE23950	0	0	0	1	1
